Name,Team,Sport,Gold,Silver,Bronze,Image
Karl Arthur Jonath,Germany,Athletics,0,1,1,
Karl Arvid Andersson (-Holtman),Sweden,Gymnastics,1,0,0,
Karl August Luther,Sweden,Athletics,0,1,0,
Karl August Petri,Germany,Fencing,1,0,0,
Karl August Ruberl,Austria,Swimming,0,1,1,
Karl Axel Patrik Norling,Sweden,Gymnastics,2,0,0,
Karl Axel Patrik Norling,Sweden,Tug-Of-War,0,0,1,
Karl Axel Rune Jansson,Sweden,Wrestling,0,0,1,
Karl Bernhard Brunner,Italy-1,Luge,0,1,0,
Karl Bertil Emanuel Nordahl,Sweden,Football,1,0,0,
Karl Bertil Sandstrm,Sweden,Equestrianism,0,3,0,
Karl Bhre,Germany,Water Polo,1,0,0,
Karl Daniel Thobias Fredriksson,Sweden,Cross Country Skiing,1,0,1,
Karl DeWitt Warner,United States,Athletics,1,0,0,
Karl Drse,Germany,Hockey,0,1,0,
Karl Duill,Germany,Cycling,0,1,0,
Karl Edmund Lindmark,Sweden,Gymnastics,1,0,0,
Karl Edvard Wahlberg,Sweden,Curling,0,1,0,
Karl Ehrenbolger,Switzerland,Football,0,1,0,
Karl Emil Jnsson,Sweden,Cross Country Skiing,0,0,2,
Karl Emil Julius Ulrich Salchow,Sweden,Figure Skating,1,0,0,
Karl Eric Emanuel Svensson,Sweden,Athletics,0,1,0,
Karl Erik Nils Lindn,Sweden,Wrestling,0,0,1,
Karl F. Schchlin,Switzerland,Rowing,1,0,0,
Karl Ferstl,Austria,Sailing,0,1,0,
Karl Folke Frln,Sweden,Equestrianism,1,0,0,
"Karl Fredrik ""Charles"" Ericksen",Norway,Wrestling,1,0,0,
Karl Fredrik Leonard Lund,Finland,Gymnastics,0,1,0,
Karl Fredrik Lindholm,Gallia II,Sailing,0,0,1,
Karl Frei,Switzerland,Gymnastics,1,1,0,
Karl Frithjof Olstad,Ormsund Roklub-2,Rowing,0,0,1,
Karl Fritiof Malmstrm,Sweden,Diving,0,1,0,
Karl Fritz Lindahl,Sweden,Gymnastics,1,0,0,
Karl Georg Lehle,Ludwigshafener Ruder Verein-1,Rowing,0,0,1,
Karl Gsta Herbert Lfgren,Sweden,Football,0,0,1,
Karl Gsta sbrink,Sweden,Gymnastics,1,0,0,
Karl Gsta sbrink,Sweden,Modern Pentathlon,0,1,0,
Karl Gunnar Larsson,Sweden,Swimming,2,0,0,
"Karl Gustaf ""Kaarlo"" Vhmki",Finland,Gymnastics,0,1,0,
Karl Gustaf Emanuel Abrahamsson,Sweden,Ice Hockey,0,1,0,
Karl Gustaf Jonsson,Sweden,Cross Country Skiing,0,1,0,
Karl Gustaf Vilhelm Staaf (Johansson-),Denmark/Sweden,Tug-Of-War,1,0,0,
Karl Gustav Bernhardt Richter,Sweden,Shooting,0,0,1,
Karl Gustav Herbert Freij,Sweden,Wrestling,1,1,1,
Karl Gustav Mathias Franzn,Sweden,Handball,0,1,0,
Karl Hein,Germany,Athletics,1,0,0,
Karl Heinz Henrichs,Germany,Cycling,1,0,0,
Karl Heinz Henrichs,West Germany,Cycling,0,1,0,
Karl Henriksen Nag (Naig-),Norway,Rowing,0,0,1,
Karl Hermann Gotthard Handrick,Germany,Modern Pentathlon,1,0,0,
Karl Hipfinger,Austria,Weightlifting,0,0,1,
Karl Hkan Sdergren,Sweden,Ice Hockey,0,0,2,
Karl Hugo Wieslander,Sweden,Athletics,1,0,0,
Karl James Dorsey,Angelita,Sailing,1,0,0,
Karl Jan Aas,Norway,Gymnastics,0,1,0,
Karl Jansen,Germany,Weightlifting,0,0,1,
Karl Johan Haagensen,Norway,Gymnastics,1,0,0,
Karl Johan Holmstrm,Sweden,Ski Jumping,0,0,1,
Karl Johan Sigurd Svensson,Sweden,Equestrianism,0,1,0,
Karl Josef Landsberg,Sweden,Cycling,1,0,0,
Karl Kainberger,Austria,Football,0,1,0,
Karl Kirk,Denmark,Gymnastics,0,1,0,
Karl Konrad Storch,Germany,Athletics,0,1,0,
Karl Kreutzberg,Germany,Handball,1,0,0,
"Karl Kther, Sr.",Germany,Cycling,0,0,1,
Karl Link,Germany,Cycling,1,0,0,
Karl Link,West Germany,Cycling,0,1,0,
Karl Magnus Wegelius,Finland,Gymnastics,0,0,1,
Karl Magnus Wegelius,Finland,Shooting,0,1,3,
Karl Malone,United States,Basketball,2,0,0,
Karl Martin Alois Schfer,Austria,Figure Skating,2,0,0,
"Karl Mauritz ""Kalle"" Westerlund",Finland,Wrestling,0,0,1,
Karl Mikael Samuelsson,Sweden,Ice Hockey,1,0,0,
Karl Mikael Tellqvist,Sweden,Ice Hockey,1,0,0,
Karl Molitor,Switzerland,Alpine Skiing,0,1,1,
Karl Neukirch,Germany,Gymnastics,2,0,0,
Karl Neumer,Germany,Cycling,0,1,1,
Karl Niklas Jonsson,Sweden,Cross Country Skiing,0,1,0,
Karl Oskar Georg Werner,Sweden,Swimming,0,0,1,
Karl Oskar Ragnar Malm,Sweden,Cycling,1,1,1,
Karl Oskar Svensson,Sweden,Football,0,0,1,
Karl Osvald Moberg,Sweden,Gymnastics,1,0,0,
Karl Peter slin,Sweden,Ice Hockey,0,0,1,
Karl Proisl,Austria,Canoeing,0,1,1,
Karl Ragnar Skanker (Eriksson-),Sweden,Shooting,1,2,1,
Karl Ronnie Sundin,Sweden,Ice Hockey,1,0,0,
Karl Schmid,Switzerland,Rowing,0,1,1,
Karl Schnabl,Austria,Ski Jumping,1,0,1,
Karl Schranz,Austria,Alpine Skiing,0,1,0,
Karl Schrott,Austria-1,Luge,0,0,1,
Karl Schultz,West Germany,Equestrianism,0,1,2,
Karl Schulze,Germany,Rowing,2,0,0,
Karl Schwegler,Switzerland,Rowing,0,1,0,
Karl Sigurd Andersson,Sweden,Cross Country Skiing,0,0,1,
Karl Steinhuber,Austria,Canoeing,0,1,0,
Karl Telford Frederick,United States,Shooting,3,0,0,
Karl Theophil Christian Aletter,Germany,Rowing,0,1,0,
Karl Thomas Conny Johansson,Sweden-2,Tennis,0,1,0,
Karl Tomas Ingemar Johansson,Sweden,Wrestling,0,1,1,
Karl Tore William Thoresson,Sweden,Gymnastics,1,1,0,
Karl Torsten Kumfeldt,Sweden,Water Polo,0,1,2,
Karl Vernon,Thames Rowing Club,Rowing,0,1,0,
Karl Viktor Torsten Sandelin,Finland,Gymnastics,0,0,1,
Karl Volger Andersson,Sweden,Cross Country Skiing,0,0,1,
Karl Wahlmller,Austria,Football,0,1,0,
Karl Weidmann,Switzerland,Rowing,0,1,0,
Karl Werner Jernstrm,Sweden,Shooting,0,0,1,
Karl ke Seyffarth,Sweden,Speed Skating,1,1,0,
"Karl-August ""Heinrich"" Peter",Germany,Hockey,0,1,0,
Karl-Axel Sundqvist,Sweden,Canoeing,0,1,0,
Karl-Erik Nilsson,Sweden,Wrestling,1,0,2,
Karl-Erik Svensson,Sweden,Gymnastics,1,0,0,
Karl-Friedrich Haas,Germany,Athletics,0,1,1,
Karl-Gustaf Vingqvist,Sweden,Gymnastics,1,0,0,
Karl-Hans Riehm,West Germany,Athletics,0,1,0,
Karl-Heinrich Erich Moritz von Groddeck,Germany,Rowing,1,2,0,
Karl-Heinz Buert,East Germany,Rowing,1,0,0,
Karl-Heinz Danielowski,East Germany,Rowing,1,0,0,
Karl-Heinz Fuhrmann,Germany,Equestrianism,0,0,1,
Karl-Heinz George Ludwig Kurt Irmer,Germany,Hockey,0,0,1,
Karl-Heinz Helbing,West Germany,Wrestling,0,0,1,
Karl-Heinz Hopp,Germany,Rowing,1,0,0,
Karl-Heinz Krger,East Germany,Boxing,0,0,1,
Karl-Heinz Lehmann,East Germany,Judo,0,0,1,
Karl-Heinz Luck,East Germany,Nordic Combined,0,0,1,
Karl-Heinz Menz,East Germany,Biathlon,0,0,1,
Karl-Heinz Prudhl,East Germany,Rowing,1,0,0,
Karl-Heinz Radschinsky,West Germany,Weightlifting,1,0,0,
Karl-Heinz Riedle,West Germany,Football,0,0,1,
Karl-Heinz Thun,East Germany,Sailing,0,1,1,
Karl-Joachim Hrter,West Germany,Hockey,0,1,0,
Karl-Johan Svensson (Sarland),Sweden,Gymnastics,2,0,0,
"Karl-Martin ""Martin"" Lauer",Germany,Athletics,1,0,0,
Karl-Robert Ameln,Ali-Baba II,Sailing,0,0,1,
Karl-ke Asph,Sweden,Cross Country Skiing,1,0,0,
Karla Roffeis (-Mgge),East Germany,Volleyball,0,1,0,
"Karlheinz ""Heinz"" Renneberg",Germany,Rowing,1,0,0,
Karlheinz Klotz,West Germany,Athletics,0,0,1,
Karlheinz Smieszek,West Germany,Shooting,1,0,0,
Karlo Stipani,Yugoslavia,Water Polo,1,1,0,
Karnam Malleswari,India,Weightlifting,0,0,1,
Karol Alfonsovich von Rmmel,Poland,Equestrianism,0,0,1,
Karol Emil Divn (Finster-),Czechoslovakia,Figure Skating,0,1,0,
Karol Estelle Kennedy (-Kucher),United States-1,Figure Skating,0,1,0,
Karola Sube (-Ziesche),East Germany,Gymnastics,0,0,1,
Karoliina Stina Margaretha Rantamki,Finland,Ice Hockey,0,0,2,
Karolina Andreyevna Sevastyanova,Russia,Rhythmic Gymnastics,1,0,0,
Karolina Naja,Poland,Canoeing,0,0,2,
"Karoline ""Lina"" Radke-Batschauer",Germany,Athletics,1,0,0,
Karoline Charlotte Dyhre Breivang,Norway,Handball,2,0,0,
Karsta Lowe,United States,Volleyball,0,0,1,
Karsten Brannasch,Germany-2,Bobsleigh,1,0,0,
Karsten Finger,Germany,Rowing,0,1,0,
Karsten Forsterling,Australia,Rowing,0,1,1,
Karsten Magnus Konow,Lully II,Sailing,0,1,0,
Karsten Schmeling,East Germany,Rowing,1,0,0,
Karsten Wolf-Dieter Manfred  Huck,West Germany,Equestrianism,0,0,1,
Karyn L. Bye (-Dietz),United States,Ice Hockey,1,1,0,
Kasey Perry-Glass,United States,Equestrianism,0,0,1,
Kaspar Fredrik Hassel,Heira II,Sailing,1,0,0,
Kaspar Simeonov,Bulgaria,Volleyball,0,1,0,
Kaspar Taimsoo,Estonia,Rowing,0,0,1,
Kasper Sndergaard Sarup,Denmark,Handball,1,0,0,
Kasper Winther Jrgensen,Denmark,Rowing,0,1,1,
Kasumi Ishikawa,Japan,Table Tennis,0,1,1,
Katalin Juhsz-Nagy (-Tth),Hungary,Fencing,1,1,0,
Katalin Kovcs,Hungary,Canoeing,3,5,0,
Katalin Makray-Schmitt,Hungary,Gymnastics,0,1,0,
Katalin Plinger,Hungary,Handball,0,1,0,
Katalin Sgi-Rozsnyi,Hungary,Canoeing,0,1,0,
Katalin Szilgyi,Hungary,Handball,0,0,1,
"Katalin Szke (Homonnai-, -Markovits, -Domjan)",Hungary,Swimming,2,0,0,
Katalin Tth Harsnyi-Laki,Hungary,Handball,0,0,1,
Katalin Tuschk,Hungary,Fencing,0,0,1,
"Katarina ""Kati"" Wilhelm",Germany,Biathlon,3,3,1,
Katarina Bulatovi,Montenegro,Handball,0,1,0,
Katarina Witt,East Germany,Figure Skating,2,0,0,
Katarzyna Bronisawa Woniak,Poland,Speed Skating,0,1,1,
Katarzyna Klata (-Kowalska),Poland,Archery,0,0,1,
Katarzyna Wjcicka-Bachleda-Curu (-Trzebunia),Poland,Speed Skating,0,1,1,
"Kate ""Katie"" Mactier",Australia,Cycling,0,1,0,
Kate Elizabeth Slatter (-Allen),Australia,Rowing,1,1,0,
Kate Gynther,Australia,Water Polo,0,0,2,
Kate Hornsey,Australia,Rowing,0,1,0,
Kate Jon-Marie Hooper,Australia,Water Polo,1,0,0,
Kate Louise Howey,Great Britain,Judo,0,1,1,
"Kate Ruth ""Katie"" Allen",Australia,Hockey,1,0,0,
Kateina Krkov-Emmons,Czech Republic,Shooting,1,1,1,
Kateina Neumannov,Czech Republic,Cross Country Skiing,1,4,1,
Katelin Snyder (-Guregian),United States,Rowing,1,0,0,
Katerina Oikonomopoulou,Greece,Water Polo,0,1,0,
Katerine Savard,Canada,Swimming,0,0,1,
Kateryna Mykolavna Tarasenko,Ukraine,Rowing,1,0,0,
Kateryna Olehivna Serebrianska,Ukraine,Rhythmic Gymnastics,1,0,0,
Kateryna Serhivna Kuryshko (-Nahirna),Soviet Union,Canoeing,1,0,0,
Kateryna Valerivna Serdiuk (-Sumko),Ukraine,Archery,0,1,0,
"Katharina Anna ""Kthe"" Krau",Germany,Athletics,0,0,1,
Katharina Bullin,East Germany,Volleyball,0,1,0,
Katharina Otte,Germany,Hockey,0,0,1,
Katharina Rensch (-Schirmer),East Germany,Gymnastics,0,0,1,
Katharine Merry,Great Britain,Athletics,0,0,1,
"Katherine ""Kate"" Johnson",United States,Rowing,0,1,0,
"Katherine ""Kate"" Starre",Australia,Hockey,2,0,0,
"Katherine ""Kathy"" Horny",Peru,Volleyball,0,1,0,
"Katherine Fiona ""Kate"" Allenby",Great Britain,Modern Pentathlon,0,0,1,
Katherine Jane Grainger,Great Britain,Rowing,1,4,0,
"Katherine Jessie Jean ""Kate"" Allen (-Diechtler)",Austria,Triathlon,1,0,0,
"Katherine Louise Rawls (-Thompson, -Green)",United States,Diving,0,2,0,
"Katherine Louise Rawls (-Thompson, -Green)",United States,Swimming,0,0,1,
"Katherine Marie ""Katie"" Weatherston",Canada,Ice Hockey,1,0,0,
"Katherine Mary ""Daisy"" Dick (-Berkeley)",Great Britain,Equestrianism,0,0,1,
"Katherine May ""Katie"" Smith",United States,Basketball,3,0,0,
Katherine Reutter,United States,Short Track Speed Skating,0,1,1,
"Katherine Sarah ""Kat"" Copeland",Great Britain,Rowing,1,0,0,
"Katheryn Anne ""Kathy"" McCormack",Canada,Ice Hockey,0,1,0,
"Kathleen ""Kathy"" Ellis (-Landgraf, -Greer)",United States,Swimming,2,0,2,
"Kathleen ""Kathy"" Hammond (-Tyson)",United States,Athletics,0,1,1,
"Kathleen ""Katie"" Taylor",Ireland,Boxing,1,0,0,
"Kathleen ""Kitty"" McKane (-Godfree)",Great Britain,Tennis,1,0,2,
"Kathleen ""Kitty"" McKane (-Godfree)",Great Britain-2,Tennis,0,1,0,
"Kathleen ""Kitty"" McKane (-Godfree)",Great Britain-3,Tennis,0,1,0,
"Kathleen Ann ""Kathy"" Johnson (-Clarke)",United States,Gymnastics,0,1,1,
"Kathleen Ann ""Kathy"" McGahey (-Heinzler)",United States,Hockey,0,0,1,
Kathleen Anne Partridge,Australia,Hockey,1,0,0,
Kathleen Baker,United States,Swimming,1,1,0,
"Kathleen Genevieve ""Katie"" Ledecky",United States,Swimming,5,1,0,
Kathleen Joan Heddle,Canada,Rowing,3,0,1,
Kathleen Kauth,United States,Ice Hockey,0,0,1,
Kathleen MacLeod,Australia,Basketball,0,0,1,
Kathleen Nord (-Schwartz),East Germany,Swimming,1,0,0,
Kathleen Russell (-Barlow),South Africa,Swimming,0,0,1,
Kathrin Boron (-Kppen),Germany,Rowing,4,0,1,
Kathrin Haacker,Germany,Rowing,0,0,1,
Kathrin Haacker,East Germany,Rowing,1,0,0,
"Kathrin Louise ""Kate"" Richardson-Walsh",Great Britain,Hockey,1,0,1,
Kathrin Neimke,Germany,Athletics,0,0,1,
Kathrin Neimke,East Germany,Athletics,0,1,0,
Kathrin Zettel,Austria,Alpine Skiing,0,0,1,
Kathrin Zimmermann,East Germany,Swimming,0,1,0,
"Kathryn ""Katie"" King",United States,Ice Hockey,1,1,1,
"Kathryn Anne ""Kathy"" Watt",Australia,Cycling,1,1,0,
"Kathryn Elise ""Katie"" Hoff (-Anderson)",United States,Swimming,0,1,2,
"Kathryn Elizabeth ""Kay"" Knapp (-Norton)",United States,Swimming,0,1,0,
"Kathryn Elliott ""Kathy"" Keeler (-Parker)",United States,Rowing,1,0,0,
"Kathryn Hallowell ""Kathy"" Kusner",United States,Equestrianism,0,1,0,
"Kathryn Jane ""Kathy"" Smallwood-Cook",Great Britain,Athletics,0,0,3,
"Kathryn Joan ""Kate"" Schmidt",United States,Athletics,0,0,2,
"Kathryn Louise ""Kath"" Johnson",Great Britain,Hockey,0,0,1,
"Kathryn Michele ""Kate"" Sobrero-Markgraf",United States,Football,2,1,0,
Kathryn Paige Zemina (-Northcutt),United States,Swimming,0,0,1,
"Kathryn Suzanne ""Katy"" Steding",United States,Basketball,1,0,0,
Kathy Kreiner (-Phillips),Canada,Alpine Skiing,1,0,0,
Kathy Laverne McMillan (-Ray),United States,Athletics,0,1,0,
Kathy Sheehy,United States,Water Polo,0,1,0,
Katia Zini,Italy,Short Track Speed Skating,0,0,1,
Katica Ile,Yugoslavia,Handball,0,1,0,
Katie Louise Archibald,Great Britain,Cycling,1,0,0,
Katinka Hossz,Hungary,Swimming,3,1,0,
Katja Hannele Riipi,Finland,Ice Hockey,0,0,1,
Katja Johanna Alice Nyberg,Norway,Handball,1,0,0,
Katja Koren,Slovenia,Alpine Skiing,0,0,1,
Katja Maarit Lehto,Finland,Ice Hockey,0,0,1,
Katja Seizinger (-Weber),Germany,Alpine Skiing,3,0,2,
Katja Steen Salskov-Iversen,Denmark,Sailing,0,0,1,
"Katri Vellamo ""Kaisa"" Parviainen",Finland,Athletics,0,1,0,
Katrin Apel,Germany,Biathlon,2,1,1,
Katrin Borchert,Australia,Canoeing,0,0,2,
Katrin Borchert,Germany,Canoeing,0,1,0,
Katrin Kauschke,Germany,Hockey,0,1,0,
Katrin Krger (-Mietzner),East Germany,Handball,0,0,1,
Katrin Mattscherodt,Germany,Speed Skating,1,0,0,
Katrin Meiner,East Germany,Swimming,2,0,1,
Katrin Nabholz,Switzerland,Ice Hockey,0,0,1,
Katrin Rutschow-Stomporowski,Germany,Rowing,2,0,1,
Katrin Wagner-Augustin,Germany,Canoeing,4,1,1,
Katrin Zeller,Germany,Cross Country Skiing,0,1,0,
Katrina Felicia McClain (-Johnson),United States,Basketball,2,0,1,
"Katrina Maree ""Triny"" Powell",Australia,Hockey,2,0,0,
Katrine Fruelund,Denmark,Handball,2,0,0,
Katrine Lunde Haraldsen,Norway,Handball,2,0,0,
Katsuhiko Nagata,Japan,Wrestling,0,1,0,
Katsuki Ishihara,Japan,Swimming,0,0,1,
Katsuko Kanesaka (-Tanaka),Japan,Volleyball,1,0,0,
Katsumi Matsumura (-Tida),Japan,Volleyball,1,1,0,
Katsumi Shibata,Japan,Hockey,0,1,0,
Katsumi Watanabe,Japan,Baseball,0,0,1,
Katsuo Takaishi,Japan,Swimming,0,1,1,
Katsutoshi Naito,Japan,Wrestling,0,0,1,
Katsutoshi Nekoda,Japan,Volleyball,1,1,1,
Katy Louise Marchant,Great Britain,Cycling,0,0,1,
Kauko Antero Hnninen,Finland,Rowing,0,0,1,
Kauko Wilhelm Wahlsten,Finland,Rowing,0,0,1,
Kawika Shoji,United States,Volleyball,0,0,1,
Kay Arne Stenshjemmet,Norway,Speed Skating,0,2,0,
Kay Bluhm,Germany,Canoeing,3,1,0,
Kay Bluhm,East Germany,Canoeing,0,0,1,
Kay Frances Worthington (-Teti),Canada,Rowing,2,0,0,
Kaye Marie Hall (-Greff),United States,Swimming,2,0,1,
Kayla Banwarth,United States,Volleyball,0,0,1,
Kayla Harrison,United States,Judo,2,0,0,
Kayla McAlister,New Zealand,Rugby Sevens,0,1,0,
Kayla Moleschi,Canada,Rugby Sevens,0,0,1,
Kaylyn McKenzie Kyle,Canada,Football,0,0,1,
Kayoko Sugiyama,Japan,Volleyball,0,0,1,
Kazimierz Aleksander Gzowski,Poland,Equestrianism,0,1,0,
Kazimierz Czarnecki,Poland,Weightlifting,0,0,1,
Kazimierz Deyna,Poland,Football,1,1,0,
Kazimierz Franciszek Zimny,Poland,Athletics,0,0,1,
Kazimierz Kmiecik,Poland,Football,1,1,0,
Kazimierz Laskowski,Poland,Fencing,0,0,1,
Kazimierz Lipie,Poland,Wrestling,1,0,1,
Kazimierz Piotr Adach,Poland,Boxing,0,0,1,
Kazimierz Sylwester Padzior,Poland,Boxing,1,0,0,
Kazimierz Szosland,Poland,Equestrianism,0,1,0,
Kazimierz Wierzyski,Poland,Art Competitions,1,0,0,
Kazimierz Wiesaw Szczerba,Poland,Boxing,0,0,2,
Kazimierz Zygfryd Barburski,Poland,Fencing,0,0,1,
Kazm Ayvaz,Turkey,Wrestling,1,0,0,
Kazue Ito,Japan,Softball,0,1,1,
Kazuhiro Ninomiya,Japan,Judo,1,0,0,
Kazuhiro Wada,Japan,Baseball,0,0,1,
Kazuhito Tanaka,Japan,Gymnastics,0,1,0,
Kazumasa Hirai,Japan,Weightlifting,0,0,1,
Kazumi Watanabe,Japan,Shooting,0,1,0,
Kazuo Noda,Japan,Swimming,0,1,0,
Kazuo Tomita,Japan,Swimming,0,0,1,
Kazuo Watanabe,Japan,Swimming,0,0,1,
Kazushito Manabe,Japan,Weightlifting,0,0,1,
Kazutaka Nishiyama,Japan,Baseball,0,0,1,
Kazuto Seki,Japan,Sailing,0,0,1,
Kazuyoshi Funaki,Japan,Ski Jumping,2,1,0,
Kazys Petkeviius,Soviet Union,Basketball,0,2,0,
"Keena Ruth Rothhammer (-Weisbly, -Zorovich)",United States,Swimming,1,0,1,
Keeth Thomas Smart,United States,Fencing,0,1,0,
Kei Marumo,Japan,Synchronized Swimming,0,0,1,
Kei Nishikori,Japan,Tennis,0,0,1,
Keigo Shimizu,Japan,Swimming,0,0,1,
Keiichiro Nagashima,Japan,Speed Skating,0,1,0,
Keiji Suzuki,Japan,Judo,1,0,0,
Keiko Hama,Japan,Volleyball,0,2,0,
Keiko Miyajima,Japan,Volleyball,0,0,1,
Keiko Tanaka-Ikeda,Japan,Gymnastics,0,0,1,
Keith Alvin Saint Hope Gardner,West Indies Federation,Athletics,0,0,1,
Keith Charles Trask,New Zealand,Rowing,1,0,0,
Keith Eugene Woodall,Canada,Ice Hockey,0,0,1,
Keith Eyre Carter,United States,Swimming,0,1,0,
Keith Ireland Notary,United States,Sailing,0,1,0,
Keith J. Remfry,Great Britain,Judo,0,1,0,
Keith Leroy Connor,Great Britain,Athletics,0,0,1,
Keith Lindsay Hugh Kirkland,Australia,Swimming,0,1,0,
Keith Matthew Tkachuk,United States,Ice Hockey,0,1,0,
Keith Mwila,Zambia,Boxing,0,0,1,
Keith Raymond Christiansen,United States,Ice Hockey,0,1,0,
"Keith Stuart ""Stu"" Irving",United States,Ice Hockey,0,1,0,
Kelci Marie Bryant,United States,Diving,0,1,0,
Kelley Anne Hurley,United States,Fencing,0,0,1,
"Kelley Law (Atkins-, -Owen)",Canada,Curling,0,0,1,
Kelley Maureen O'Hara,United States,Football,1,0,0,
Kelli Allison Stack,United States,Ice Hockey,0,2,0,
Kellie Wells,United States,Athletics,0,0,1,
Kellogg Kennon Venable Casey,United States,Shooting,1,1,0,
Kelly Anne McCormick,United States,Diving,0,1,1,
Kelly Anne Rickon (-Mitchell),United States,Rowing,0,1,0,
Kelly Bchard,Canada,Ice Hockey,1,0,0,
Kelly Brazier,New Zealand,Rugby Sevens,0,1,0,
Kelly Catlin,United States,Cycling,0,1,0,
Kelly Clark,United States,Snowboarding,1,0,2,
Kelly Cristina Pereira da Silva,Brazil,Football,0,1,0,
Kelly Hardie,Australia,Softball,0,0,2,
Kelly Holmes,Great Britain,Athletics,2,0,1,
Kelly Jade Sotherton,Great Britain,Athletics,0,0,1,
Kelly Jeromy Willie,United States,Athletics,1,0,0,
Kelly Kretschman,United States,Softball,1,1,0,
Kelly Kristen Rulon,United States,Water Polo,1,0,1,
Kelly Maria Jonker,Netherlands,Hockey,1,1,0,
Kelly Marie Kryczka (-Irwin),Canada,Synchronized Swimming,0,1,0,
Kelly Massey,Great Britain,Athletics,0,0,1,
Kelly Murphy,United States,Volleyball,0,0,1,
Kelly Parker,Canada,Football,0,0,1,
Kelly Russell,Canada,Rugby Sevens,0,0,1,
Kelly Silva dos Santos,Brazil,Basketball,0,0,1,
Kelly Stephens (-Tysland),United States,Ice Hockey,0,0,1,
Kelpo Olavi Grndahl,Finland,Wrestling,1,1,0,
Kelsey Robinson,United States,Volleyball,0,0,1,
Kelsey Serwa,Canada,Freestyle Skiing,0,1,0,
Kelsi Worrell,United States,Swimming,1,0,0,
Keltie Mayken Duggan (-Graboski),Canada,Swimming,0,0,1,
Kelvin John Graham,Australia,Canoeing,0,0,2,
Kely Kolasco Fraga,Brazil,Volleyball,0,0,1,
Kemar Bailey-Cole,Jamaica,Athletics,2,0,0,
Ken Frost,Denmark,Cycling,0,0,1,
Kenan Olcay,Turkey,Wrestling,0,1,0,
Kenan imek,Turkey,Wrestling,0,1,0,
Kendall Coyne,United States,Ice Hockey,0,1,0,
Kendall Duane Cross,United States,Wrestling,1,0,0,
Kendra Zanotto,United States,Synchronized Swimming,0,0,1,
Kenenisa Bekele Beyecha,Ethiopia,Athletics,3,1,0,
Kenichi Konishi,Japan,Hockey,0,1,0,
Kenichi Yumoto,Japan,Wrestling,0,0,1,
Kenji Inoue,Japan,Wrestling,0,0,1,
Kenji Johjima,Japan,Baseball,0,0,1,
Kenji Kimihara,Japan,Athletics,0,1,0,
Kenji Kimura,Japan,Volleyball,1,1,0,
Kenji Ogiwara,Japan,Nordic Combined,2,0,0,
Kenji Shimaoka,Japan,Volleyball,1,1,0,
Kenjiro Todoroki,Japan,Sailing,0,0,1,
Kenkichi Ando,Japan,Weightlifting,0,0,1,
Kenkichi Oshima,Japan,Athletics,0,0,1,
Kennedy Goss,Canada,Swimming,0,0,1,
"Kennedy Kane ""Ken"" McArthur",South Africa,Athletics,1,0,0,
Kennedy McKinney,United States,Boxing,1,0,0,
"Kenneth ""Ken"" Laufman",Canada,Ice Hockey,0,1,1,
"Kenneth ""Ken"" Lovsin",Canada,Ice Hockey,0,1,0,
"Kenneth ""Ken"" Myers",United States,Rowing,1,2,0,
"Kenneth ""Ken"" Tralnberg",Canada,Curling,0,1,0,
"Kenneth ""Kenny"" Egan",Ireland,Boxing,0,1,0,
"Kenneth ""Kenny"" Gould",United States,Boxing,0,0,1,
"Kenneth Alan ""Ken"" Richmond",Great Britain,Wrestling,0,0,1,
"Kenneth Alan ""Kenny"" Carr",United States,Basketball,1,0,0,
Kenneth Anton Carey,Angelita,Sailing,1,0,0,
"Kenneth Arlington ""Ken"" Morrow",United States,Ice Hockey,1,0,0,
"Kenneth Arthur ""Ken"" Huszagh",United States,Swimming,0,1,1,
Kenneth Braaten,Norway,Nordic Combined,1,0,0,
"Kenneth Bryan ""Kenny"" Davis",United States,Basketball,0,1,0,
"Kenneth Charles ""Ken"" Henry",United States,Speed Skating,1,0,0,
"Kenneth Christopher ""Ken"" Wark",Australia,Hockey,0,1,1,
"Kenneth Dale ""Kenny"" Monday",United States,Wrestling,1,1,0,
"Kenneth Eldred ""Ken"" Bartholomew (Bartholomay-)",United States,Speed Skating,0,1,0,
"Kenneth Eliot ""Ken"" Flach",United States,Tennis,1,0,0,
"Kenneth George ""Ken"" Wiesner",United States,Athletics,0,1,0,
"Kenneth Gilbert ""Ken"" Glass",Caprice,Sailing,0,0,1,
"Kenneth Herman ""Kenny"" Rollins",United States,Basketball,1,0,0,
"Kenneth James ""Ken"" Yackel, Sr.",United States,Ice Hockey,0,1,0,
"Kenneth Jeffrey ""Ken"" Jones",Great Britain,Athletics,0,1,0,
"Kenneth Joseph ""Ken"" Matthews",Great Britain,Athletics,1,0,0,
"Kenneth L. ""Kenny"" Brokenburr",United States,Athletics,1,0,0,
"Kenneth Lorne ""Ken"" Broderick",Canada,Ice Hockey,0,0,1,
"Kenneth Marshall ""Ken"" Walsh",United States,Swimming,2,1,0,
Kenneth Mattias hlund,Sweden,Ice Hockey,1,0,0,
"Kenneth Maxwell ""Ken"" Wallace",Australia,Canoeing,1,0,2,
"Kenneth Paine ""Ken"" Edwards",Western Golf Association-1,Golf,1,0,0,
"Kenneth Pentin ""Ken"" Farmer",Canada,Ice Hockey,0,1,0,
